,JobRole,Skills
828,Software Test Engineer - Automation Testing,"Automation Testing, Java, Test Case Writing, Cucumber Testing, Software Quality Assurance, Appium, Selenium, JMeter"
829,Software Test Engineer - Automation Testing,"Automation Testing, Java, Test Case Writing, Cucumber Testing, Software Quality Assurance, Appium, Selenium, JMeter"
830,SDET (Software Development Engineer in Test),"Agile Methodology, SAP SD, Worksoft Certify, SDET, Automation Testing, Software testing, Saps, SD"
831,Software Engineer in Test,"software test automation, Jenkins, Java, Database validations, BDD, OOPS, TestNG, API automation"
832,SOFTWARE TESTING ENGINEER,"Software testing, Automation, Automation testing, Linux, Agile scrum, Web application, SOA testing, Application development"
833,Software Quality Engineer II - Mobile Automation Testing,"Engineer II, Telecom, Test management, Agile, Scrum, software quality, Android, Recruitment"
834,Software Test Engineer II - Mumbai,"IT services, Maven, Linux, RDBMS, Shell scripting, Windows, Selenium, SDLC"
835,Software Tester,"software testing, regression testing, test case execution, automation testing, manual testing, test cases, smoke testing, gui testing"
836,Senior Software Engineer (Test),"Computer science, System testing, Manager Quality Assurance, Information security, Performance testing, Problem management, Unit testing, Manager Quality Control"
837,SOFTWARE TESTING ENGINEER,"Software testing, Automation testing, Manual testing, Analytical, Test scenarios, Mobile applications, Monitoring, Software"
838,Software Test Engineer - Selenium,"Selenium, Software Quality Assurance, Automation Testing, JMeter, Test Strategy, Testing, Quality assurance, Automation"
839,Software Automation Testing Engineer,"Java, Appium, Selenium, API Testing, Browserstack, Katalon Studio, Automation testing, Software testing"
840,Software Engineer - Testing,"Unix, MS SQL, Manager Quality Assurance, Linux, Development Manager, RDBMS, Testing tools, Troubleshooting"
841,Software Engineer in Test,"Product management, Automation, MS SQL, Manager Quality Assurance, Linux, RDBMS, Coding, Scrum"
842,Software Test Engineer,"Product management, Computer science, Automation, MS SQL, Linux, RDBMS, Coding, Defect tracking"
843,Software Engineer in Test,"Unix, Automation, MS SQL, Manager Quality Assurance, Linux, RDBMS, Coding, Test cases"
844,Software Test Engineer - Unit/Integration Test (m/f/d),"Embedded C, GIT, UDS, Analytical, Debugging, Agile, JIRA, Automotive"
845,Test Automation Engineer – Core Software & Debugging,"Test Automation, C++, C, QDSS, Data Analysis, Glink, Diag, Python"
846,Software Engineer - Test Automation,"SAN, Automation, Test scripts, Debugging, Javascript, Agile, Selenium, Test cases"
847,Senior Software Engineer - Test Automation,"SAN, Automation, Test scripts, Debugging, Javascript, Agile, Selenium, Test cases"
848,Software Test Engineer,"functional, software testing, automation testing, presentation skills, agile, test design, reporting, communication skills"
849,Software/ VLSI Testing Engineer.,"EDA tools, C++, Test Automation, C, FPGA, Software Testing, VLSI Testing, Test Planning"
850,Senior Software Engineer in Test,"QA, Automation testing, Manual testing, Monitoring tools, Web application, Javascript, Agile, splunk"
851,Software Development Engineer in Test(Java),"Graphic designing, Backend, Web development, Cloud, Data structures, Video editing, Adobe, Load balancing"
852,Software Test Engineer -Selenium / API,"SOAP, selenium, Automation Testing, Postman, Selenium RC, SOAP UI, Restful, JSON"
853,Senior Software Engineer in Test Konnect Cloud (Bangalore),"rest, software testing, testing tools, saas, paas, test cases, api testing, grpc"
854,Software Test engineer,"continuous integration, Backend, Translation, jQuery, Version control, GIT, Coding, Troubleshooting"
855,Software Development Engineer in Test,"salesforce, continuous integration, cd, python, software testing, writing, manual testing, ci/cd"
856,Software Development Engineer - Test - Mobile App/API Testing,"Automation Testing, Java, Webservices Testing, SDET, Software Quality Assurance, API Testing, Test Analyst, Mobile App Testing"
857,Software Development Test Engineer,"Selenium With Java, Automation Testing, Bdd Cucumber, SQL, Software, Cucumber, Selenium, Automation"
858,Software Test Engineer| Product Based Company| Bangalore,"Automation Testing, Manual Testing, sql, Testing Tools, Cucumber Testing, linux, Selenium, Ruby Scripting"
859,Software Test Engineer,"Software testing, Automation testing, Testing tools, Industrial automation, Diversity and Inclusion, Instrumentation, Software product development, Test cases"
860,Software Engineer Testing - DWH (Hadoop/Spark),"Unix, Manager Quality Assurance, Information security, SCALA, Incident management, Manager Quality Control, Information technology, SQL"
861,LEAD ENGINEER-SOFTWARE TEST&RELEASE,"python, software testing, regression testing, automation testing, documentation, manual testing, smoke testing, system testing"
862,"Lead Software Engineer in Test, Cross Border Services","Maven, Test strategy, Lead Software, TDD, Information security, Exploratory testing, Integration testing, Selenium"
863,Senior Software Quality Analyst Engineer - Test and Automation,"Computer science, Software design, Data analysis, Development Manager, Coding, Analytical, Debugging, Data collection"
864,Software Tester,"Automation testing, java api, API Testing, Python, Testing, Software testing, Software, Automation"
865,Software Tester,"Testng, Automation Testing, Manual Testing, Selenium IDE, Test Cases, Software, Case, Selenium"
866,Software Development Engineer in Test,"Automation testing, Javascript, Performance testing, Data structures, E-commerce, JSON, collection framework, Selenium"
867,Software Developer in Test (SDET),"quality engineering, lis, microsoft azure, vmware vcenter, scrum, manual testing, sql, software test development"
868,Quality Control Executive (Software Test Engineer),"Automation testing, VB.NET, MS Access, IT skills, ASP.Net, Test cases, Executive Quality Control, Business Executive"
869,Software Engineer in Test,"Unix, Automation, MS SQL, Manager Quality Assurance, Linux, RDBMS, Coding, Test cases"
870,"Engineer III, Software Test","Software Testing, Git, test management, OOPS, GitHub, test cases, SVN, software quality assurance"
871,Staff Software Development Engineer in Test,"python, selenium, mysql, amazon rds, aws, sql, cypress, communication skills"
872,Software Tester,"test scenarios, software testing, regression testing, automation testing, manual testing, test cases, sql, product design"
873,Tester III - Software Testing,"automation framework, Software testing, Automation testing, Project estimation, Test scripts, Agile scrum, Testing tools, Test execution"
874,Software Test Engineer (Automation),"continuous integration, Software development methodologies, Test scripts, Aviation, Analytical, Javascript, Performance testing, Selenium"
875,Software Testing Engineer (Senior & Junior),"Software testing, Software design, Linux, Coding, Debugging, Windows, Selenium, Bugzilla"
876,Software Test Engineer - Desktop Application,"Test Design, Test Automation Framework, User Acceptance Testing, Test Data Management, SQL Queries, Desktop Applications, Automation testing, Usage"
877,Software Development Engineer in Test (SDET),"automation framework, QA, Automation testing, Test scripts, Programming, Software testing, Framework, SDET"
878,Software Engineer - Test,"QA, Software testing, Automation testing, Manager Quality Assurance, SAAS, Cloud, Javascript, Regression testing"
879,Software Development Engineer in Test,"automation framework, Automation testing, MVVM, Manager Technology, Silicon, MVC, IOS, Android"
880,SOFTWARE TEST ENGINEER,"rest assured, rest, software testing, selenium, test cases, api, testng, bug tracking tool"
881,Software Testing Engineer,"Computer science, Load testing, Test scripts, Testing tools, Debugging, Selenium, Test cases, SDLC"
882,Engineer-IT (Software Tester),"Product Testing, Bug Tracking, Python Testing, Programming Logic Control, Fault Finding, Software Testing skills, JIRA, Logic"
883,Software Test Engineer,"nextjs, react.js, system, x-ray, ruby rails, communication skills, jira, zephyr"
884,Software Development Engineer in Test (SDET),"Testing tools, SOC, Performance testing, Agile, Selenium, Test cases, SDLC, Analytics"
885,Software Test Specialist - Opportunity To Cash,"automation framework, Business services, Maven, Backend, Manual testing, Test scripts, Siemens, Selenium"
886,Software Test Engineer Automation,"Automation Selenium, Ci Tools, Java Selenium, GIT, Automation, Selenium, Continuous Integration, Software"
887,Automation Testing- Staff Software Engineer -IT,"Specflow, C#, Automation Testing, Automation, Software, Spec Flow, Software testing"
888,Sr. Software Test Engineer - Automation,"Maven, Manual testing, Coding, Enterprise applications, Project management, Selenium, Test cases, SCM"
889,Software Engineer - Test Automation,"Automation, SOA, Integration testing, Healthcare, Regression testing, Selenium, Test cases, Customer service"
890,Software Testing Engineer,"Manual Testing, test engineering, regression testing, istqb, test cases, test planning, test scripts, manual test execution"
891,Automation Software Tester,"SDET, QA, Java, WEB, Automation Testing, Selenium, Manual Testing, Data warehouse"
892,Software Test Engineer II,"System testing, Medical devices, Manager Quality Assurance, Analytical, Test design, Healthcare, SDLC, Embedded software"
893,Software Tester,"test scenarios, software testing, regression testing, automation testing, manual testing, test cases, sql, product design"
894,Immediate requirement For Software Tester & Automation Tester,"Software Testing, Java Programming, Selenium Webdriver, Automation Testing, Selenium RC, Mobile Automation, Test Planning, Manual"
895,Automation Trainer / Software Testing Trainer Appzlogic,"automation framework, Maven, Core Java, Automation, LMS, cyber security, Scheduling, Selenium"
896,Exploratory Software Tester,"Exploratory Testing, Data Governance, ETL Testing, Data Warehouse Testing, Software testing, Warehouse, Data warehousing, ETL"
897,Software Test Engineer,"Maven, Automation, Functional testing, Performance testing, Agile, Agile methodology, Selenium, JIRA"
898,Software Test Engineer,"Report generation, Automation testing, Manual testing, Defect tracking tool, RDBMS, Test scenarios, Selenium, Test cases"
899,Senior Software Test Automation Engineer,"automation framework, Test preparation, Automation testing, Defect tracking, Test management, Agile, Test scenarios, Selenium"
900,Senior Software Test Automation Engineer,"Computer science, Manual testing, GIT, Test scripts, Test strategy, Javascript, Agile, Selenium"
901,Software Test Automation Engineer,"Black Box Testing, Perl, Selenium, Test cases, QTP, microsoft, Troubleshooting, Ruby"
902,Senior Software Test Automation Engineer,"C, Java J2Ee Developer, Debugging, Agile, HTML, HTTP, Scrum, Selenium"
903,Software Test Automation Engineer,"Debugging, Agile, Workflow, HTML, HTTP, Selenium, microsoft, Troubleshooting"
904,Software Tester,"Manual testing, Functional testing, Test scenarios, HTML, Test cases, GUI testing, JIRA, Defect management"
905,Test Automation Engineer - System Software Engineer 1,"Wireless, Product engineering, ASIC, Semiconductor, Javascript, Agile, Genetics, Troubleshooting"
906,Software  Test Automation Engineer - Machine Learning algorithms,"Machine Learning, Automation Testing, Test Automation, frameworks, Data Structures, automation suites, load balances, Machine Learning algorithms"
907,Software Test Engineer,"Manual Testing, Writing Test Cases, Software Testing, Functional Testing, Test Scripts, Test Cases, Bug Reporting, Software"
908,Software Testing Engineer - ESL,"Computer science, Electrical engineering, C++, TCL/TK, Test scripts, Digital electronics, Test cases, Python"
909,Software Testing Engineer,"Software testing, System testing, Root cause analysis, Time management, Integration testing, Test design, Infrastructure, Manual functional testing"
910,Testing Jobs In Gurgaon - Software Test Engineer,"Software QA, Manual testing, Test scripts, SQL database, QA testing, Software, Selenium, Test cases"
911,Software Test Engineer (Wifi),"Linux, Networking, RF, Debugging, JSON, Troubleshooting, WiFi, Virtualization"
912,Software Test Engineer (Wifi),"Linux, Networking, RF, Debugging, JSON, Troubleshooting, WiFi, Virtualization"
913,Software Automation Testing Engineer,"Manager Quality Assurance, RDBMS, XML, Debugging, Agile, JSON, Windows, Selenium"
914,Quality Analyst - Software Tester,"Quality Analysis, Manual Testing, Azure, Software Testing, test cases, JIRA, Analysis, Quality"
915,QA Engineer / Software Tester,"QA, Software testing, White box testing, Automation testing, Team leading, Manual testing, Share market, Regression testing"
916,Software Testing Engineer,"Software testing, SQL queries, Automation testing, Test case execution, Web services, Manual testing, Defect tracking, Functional testing"
917,QA Engineer/Software Tester,"Software testing, White box testing, Automation testing, Technical analysis, Team leading, Manual testing, Share market, Regression testing"
918,Software Test Engineer,"Automation Testing, Manual Testing, Selenium Testing, Selenium Webdriver, API Testing, User Stories, Software, Manual"
919,Software Testing Engineers,"C++, Automation testing, Manual testing, Testing tools, Field testing, Black Box Testing, PHP, HTML"
920,Software Test Engineer,"Tosca, Automation Testing, Manual Testing, Salesforce, Automation, Software, Software testing, Manual"
921,Software Test Engineer - Automation Testing,"Automation Testing, Java, Test Case Writing, Cucumber Testing, Automation Testing Tools, Software Quality Assurance, Appium, Selenium"
922,Sr. Software Engineer- Manual Testing,"Automation testing, Manual testing, Manager Quality Assurance, Business Analyst, Functional testing, Agile, test driven development, Test cases"
923,SOFTWARE TESTING TRAINER,"Software testing, C++, Core Java, Automation testing, Manual testing, C, MySQL, PLSQL"
924,SOFTWARE TESTER,"Analytical skills, Software testing, Web application testing, ERP, Automation testing, Manual testing, microsoft azure, Technical support"
925,SOFTWARE TESTING ENGINEER,"Software testing, Manual testing, Analytical, Banking, Database, SDLC, STLC, Testing"
926,Software Tester,"Regression Testing, Test Execution, Automated Testing, Test Plans, Manual Testing, Functional Testing, Test Cases, Automation testing"
927,Software Test Engineer,"Java, Automation Testing, Manual Testing, Selenium, Mobile Application Testing, Web Application Testing, Manual, Application testing"
928,"Associate Engineer, Software Testing","Software Testing, Performance Testing, NoSQL database, Testing software applications, JavaScript, Stress Testing, AWS, Load Testing"
929,Network Software Test- Software Engineer,"SAN, GIT, Simulation, Networking, Venture capital, Test cases, STP, MPLS"
930,Lead Software Test Engineer,"Coding, Performance testing, Agile, Packaging, Selenium, Test cases, Open source, SQL"
931,Software Engineer Test/Developer Angular and NodeJS Technology Experts,"Backend, github, GCP, Project management, Postgresql, Web development, Manager Technology, JIRA"
932,Software Development Engineer in Test - SDET,"Object oriented design, Backend, Test strategy, Functional testing, Analytical, Debugging, QA automation, Analytics"
933,Manual / Automation Testing Software Engineer,"Automation Testing, Software Testing Life Cycle, Software Quality Assurance, Software Testing, test scripts, Manual Testing, Software, Quality"
934,Software Engineer-Test Automation,"Computer science, Software testing, Automation testing, Manager Quality Assurance, Test scripts, Agile development, Debugging, Selenium"
935,Software Automation Engineer in Test,"Automation Testing, Java, C++, Automation, C, BDD, Data Structures, security Testing"
936,Software Test Automation Engineer,"Automation, Manager Quality Assurance, Defect tracking, Analytical, Debugging, Clinical research, Life sciences, Selenium"
937,"Software Development Engineer and Test Automation, Staff","Linux kernel, Debugging, Data structures, Test cases, MIPS, microsoft, JIRA, cisco"
938,Software Engineer - Test Automation,"Maven, Drupal, Testing tools, MySQL, Billing, Selenium, Apache, SQL"
939,Python Automation Engineer--Tester III - Software Testing,"Automation, Coding, Test design, Test scenarios, Gap analysis, Selenium, Test cases, Product testing"
940,Software Test Engineer,"Software QA, Manual Testing, Mobile Testing, Automation Testing, Test Engineering, Software Testing, Web Based Application, Functional Testing"
941,Software Test Engineer,"Manual Testing, Automation Tools, Api Automation, Automation Testing, Selenium, Analytical Skills, Software Testing Life Cycle, Software Testing"
942,Software Test Engineer (Wifi),"Linux, Debugging, Performance testing, Test planning, JSON, Troubleshooting, Virtualization, SQL"
943,Software Test Engineer (Wifi),"Linux, Debugging, Performance testing, Test planning, JSON, Troubleshooting, Virtualization, SQL"
944,SDET (Software Development Engineers in Automation Test),"SDET, JMeter, NodeJS, JUnit, Selenium, REST Assured, Appium, NoSQL"
945,Sr. Software Test Engineer - Automation with C#,"Product management, Computer science, Object oriented design, Manual testing, Load testing, Test scripts, Coding, Application development"
946,"Software Development Engineer Test Automation (SEL Hadapsar, Pune.)","Automation, Industrial Automation, PLC, Testing Frameworks, Python Framework, Agile Process, JIRA, Python"
947,Software Test Automation Engineer,"automation framework, Automation testing, Networking, WAN, Network infrastructure, Cloud, Security services, Test cases"
948,Software Engineer - Test Automation,"automation framework, Automation testing, Networking, WAN, GCP, Cloud, Security services, Test cases"
949,Software Engineer – Automation Testing,"automation framework, Automation testing, Test scripts, Functional testing, Integration testing, Windows, Selenium, Test cases"
950,Software Development Engineer In Test / SDET,"Api Automation, Typescript, Ui Automation, Software, SDET, Automation, UI, Software engineering"
951,Software Quality Engineer/Tester,"Computer science, Software design, Manager Quality Assurance, Debugging, Javascript, Regression testing, software quality, Test cases"
952,Software Development Engineer in Test,"Computer science, Testing tools, Agile, HTTP, Scrum, Selenium, Test cases, SQL"
953,Software Development Engineer in Test - IS&T,"software quality assurance testing, iOS native applications, Java, Maven, Web Service, Git, automation, GCP"
954,SDET (Software Development Engineer in Test),"qc, automation, software testing, testrail, cucumber, spec flow, redis, javascript"
955,Urgent Requirement || Software Tester Requirement || VIT Tech Pvt Ltd,"Software Testing, Selenium Automation, Automation Selenium, Selenium Testing, Software, Automation, Requirements, Technical analysis"
956,Telecom Tester,"Telecom Tester, Oss / Bss, test plans, Test Cases, Test Strategy, Unix, Defect Management, Test Scripts"
957,Software Test Engineer,"Computer science, Simulation, Test scripts, Diagnostics, Analytical, Process improvement, Debugging, Test cases"
958,Software Test Engineer,"Computer science, Simulation, Test scripts, Diagnostics, Analytical, Process improvement, Debugging, Test cases"
959,Software Development Engineer in Test I,"home furnishing, quality control, production, textile, photoshop, merchandising, embroidery, printing"
960,Software Development Engineer in Test,"Maven, Automation, Test strategy, Coding, Postgresql, Social media, Performance testing, Selenium"
961,LEAD ENGINEER-SOFTWARE TEST&RELEASE,"Wireless, Telecom, C++, Linux, 3G, Coding, Perl, Technical support"
962,Software Test Engineer - Experienced (Automation),"Product quality, Web application testing, Automation, Front end, System integration testing, Agile methodology, Selenium, Test cases"
963,Senior Software Engineer - Test Automation,"Test Automation, Jenkins, Java, Software Development, Git, automation frameworks, Software Testing, CI/CD"
964,"Senior Software Test Engineer, API Automation","Software Test Engineer, API Automation, Senior, Automation testing, Software, API Testing, Automation, API"
965,Software Engineer - Test Automation,"SAN, Health insurance, GIT, Life sciences, Selenium, Test cases, Open source, JIRA"
966,Senior Software Engineer - Test Automation - Mobile,"SAN, Health insurance, Automation, GIT, Localization testing, Life sciences, Mobile testing, Android"
967,Senior Software Engineer - Test Automation,"SAN, Health insurance, Automation, GIT, API Testing, Healthcare, Cosmetics, Life sciences"
968,Associate Software Engineer - Test Automation,"SAN, Health insurance, GIT, Healthcare, Life sciences, Selenium, Test cases, Open source"
969,Senior Software Engineer - Test Automation (Digital Trials),"SAN, XML, Healthcare, HTTP, JSON, Scrum, Selenium, Test cases"
970,Senior Software Engineer - Test Automation,"SAN, Automation, Linux, Debugging, Javascript, Agile, Selenium, Test cases"
971,Software Test Automation Engineer,"Automation, XML, Debugging, Javascript, Agile, Workflow, XSLT, Selenium"
972,Senior Software Engineer -Test Automation,"Test Automation, S3, Java, BDD, GitHub, version control, DynamoDB, Bash"
973,Software Test Automation Engineer,"Automation, Manual testing, Testing tools, Test management, Web development, System integration, Selenium, Test cases"
974,Trainee- Software Testing,"Manual Testing, SQL, Black Box Testing, White Box Testing, Test Cases, Software, Case, Box"
975,Software Development Engineer In Test / SDET,"Security Testing, Api Automation, Typescript, Selenium Webdriver, unit test script, FPOM, JMeter, POM"
976,Senior Software Engineer in Test,"Automation, Access management, Test planning, HTTP, Selenium, Test cases, software quality, SQL"
977,RF Software Test Engineer,"C#, rf, C, Test Automation, ATE development, Debugging, Visual Studio, Python"
978,Software Development Engineer in Test-I,"Manager Quality Assurance, Test scripts, Testing tools, Javascript, Healthcare, Regression testing, Selenium, Test cases"
979,Software Development Engineer in Test,"Unix, Object oriented design, Test strategy, Testing tools, Coding, MySQL, Data structures, microsoft"
980,Software Test Engineer,"Automation, Usage, Automation testing, Manual testing, Networking, Compliance, Quality Analyst, Transmission"
981,Software Engineer - Test 1,"software development, software testing, regression testing, automation testing, test cases, manual testing, smoke testing, sql"
982,Software Engineer - Test 1,"software development, software testing, regression testing, automation testing, test cases, manual testing, smoke testing, sql"
983,Software Engineer - Test 1,"software development, software testing, regression testing, automation testing, test cases, manual testing, smoke testing, sql"
984,Senior Software Test Engineer,"QA, Maven, SQL queries, Automation, Automation testing, GIT, Healthcare, QA automation"
985,Software Test Engineer II,"Software testing, Automation testing, Software Test Engineer II, Agile, Test scenarios, Project planning, Test cases, Customer service"
986,Software Test Engineer III,"Loop, Automation testing, Construction, Test scenarios, Project planning, Hardware, Test cases, Customer service"
987,Software Development Engineer in Test - I,"Health insurance, Manager Quality Assurance, Skill development, Load testing, Agile scrum, Healthcare, Genetics, Agile methodology"
988,"Senior Software Development Engineer in Test (SDET), Flights","Automation testing, Manual testing, Manager Quality Assurance, Test scripts, Regression testing, Selenium, Ruby, Python"
989,Software Development Engineer in Test,"Automation, Automation testing, Interpersonal skills, Automation tools, Performance testing, Programming, Selenium, Test cases"
990,Software Development Engineer in Test,"automation framework, Framework design, Linux, Test scripts, Machine learning, Performance testing, Data structures, JSON"
991,Software Test Engineer II,"SAN, SAS, Linux, Data management, Staffing, Windows, Digital marketing, Gaming"
992,Software Test Engineer,"automation framework, Manual testing, Test scripts, Functional testing, Performance testing, Test scenarios, E-commerce, Selenium"
993,Software Tester,"performance testing, software testing, regression testing, test case execution, automation testing, test cases, manual testing, smoke testing"
994,Software Test Engineer (Api Automation),"Api Automation, Jenkins, Maven, Bdd, Rest Assured, Github, SDET, Selenium Webdriver"
995,Software Development Engineer in Test ( SDET ),"Java, automation testing, Selenium, Rest api, Python, Jenkins, Maven, Docker"
996,Software Testing Consultant,"BDD, Software Testing, Automation Testing, object model frameworks, Selenium, Test Data, Javascript, Test Plans"
997,Senior Associate - Software Tester,"Testing tools, Functional testing, Debugging, Performance testing, PHP, Scrum, Selenium, Test cases"
998,Tester II - Software Testing,"Test scripts, Testing tools, Functional testing, ETL testing, Test execution, Test design, Test scenarios, PLSQL"
999,Lead I - Software Testing,"Testing tools, Coding, XML, Debugging, Javascript, Workflow, HTML, Selenium"
1000,Tester III - Software Testing,"Server monitoring, Test case execution, Test execution, Test design, Test scenarios, Performance testing, Gap analysis, Test cases"
1001,Software Developer in Test-II,"Graphics, PPC, Linux, Testing tools, Shell scripting, Windows, Middleware, Python"
1002,Software Development Engineer in Test (SDET),"Python, c#, bdd, sdet, automation testing, test automation framework, test cases, test scripts"
1003,Software Development Engineer in Test,"Automation testing, Typescript, Playwright, exploratory testing, Docker, SDET, manual testing, test design"
1004,Software Development Engineer - Test - Selenium/Cucumber Testing,"Selenium, POSTMAN, Cucumber Testing, SDET, TestNG, Automation Testing, Software engineering, Software"
1005,Software Test Engineer,"System testing, Automation testing, Web technologies, Bug reporting, Mobile applications, Test case creation, Software testing, Application"
1006,Software Testing Engineer,"Computer science, Software testing, Automation testing, Manager Quality Assurance, Testing tools, API Testing, Automation tools, Selenium"
1007,Software Test Engineer,"Software testing, Core Java, Automation testing, Test scripts, Eclipse, Debugging, Test scenarios, Selenium"
1008,Software Development Engineer in Test,"github, Automation testing, GIT, SAS, Quality testing, jenkins, Selenium, Open source"
1009,Software Development Engineer in Test,"github, Automation testing, GIT, SAS, Quality testing, jenkins, Selenium, Open source"
1010,Software Development Engineer in Test I,"Software Development, software testing, Agile methodology, ADO Test cases, risk analysis, Software, Test cases, ADO"
1011,Product/Software Test Engineer,"Linux, Web Application Testing, Black Box Testing, Mobile Application Testing, White Box Testing, Regression Testing, Product release management, Integration Testing"
1012,Software Development Engineer in Test (SDET),"GIT, Testing tools, Javascript, Security testing, HTML, Selenium, software quality, Monitoring"
1013,Software Tester,"REST API, IT Asset Management, ATF, CMDB, Test Planning, Selenium, Test Case Design, QTP"
1014,Traction Test EDU Manager - Software,"EDU Engineering, project management, Project Engineering, team management, propose improvement, Software testing, Management, Software"
1015,Software Engineer - Testing,"Manager Quality Assurance, Testing tools, Javascript, Performance testing, HTML, Perl, Open source, Testing"
1016,Software Test Engineer,"Manager Quality Assurance, XML, Javascript, Performance testing, HTML, Perl, Apache, Troubleshooting"
1017,Software Test Engineer,"Test case execution, Test scenarios, Japanese, Testing, Case, Test execution, Execution, Software"
1018,Software Tester / QA Engineer,"Computer science, ERP, PDF, Test scripts, Analytical, Web development, Test cases, Outsourcing"
1019,Associate Software Test Engineer,"Unix, Automation, Manual testing, Linux, Coding, Windows, Open source, SDLC"
1020,Software Test Engineer -Desktop Application,"Usage, Manual testing, Manager Quality Assurance, User interaction, Interaction design, Test cases, Application software, Statistics"
1021,Software Development Engineer in Test (SDET),"SAN, Automation, Manual testing, Manager Quality Assurance, Test scripts, Test execution, Financial planning, Javascript"
1022,Software Test Engineer,"software testing, network installation, networking, software installation, software troubleshooting, system administration, technical support, desktop engineering"
1023,Software Development Engineer Testing,"SOA, RDBMS, Debugging, Performance testing, Agile, Application security, Selenium, software quality"
1024,Lead - Software Development Engineer in Test (SDET) / QA Manager,"SAN, Automation, Manual testing, Manager Quality Assurance, Team management, Test execution, Financial planning, Selenium"
1025,Senior Software Engineer in Test - Konnect Cloud,"Web technologies, Production support, Test strategy, Testing tools, Functional testing, PAAS, Test execution, Cloud"
1026,Software Development Engineer in Test (SDET),"Selenium, Docker Container, Kubernetes, Unit Testing, Python Framework, Pytest, Agile, Java Programming"
1027,Software Engineer - Testing,"automation framework, Computer science, Process design, Automation testing, Development Manager, Coding, Selenium, Test cases"
1028,Software Test Engineer,"Java, Selenium Webdriver, Automation Testing, Bdd Framework, Software, Webdriver, Framework, Automation"
1029,Software Development Engineer - Testing,"continuous integration, cd, test scenarios, software development, performance testing, software testing, automation testing, ci/cd"
1030,Software Test Engineer,"Automation, Technology management, Automation testing, GIT, Agile development, Automation tools, Javascript, Manager Technology"
1031,Software Test Engineer,"Automation, Technology management, Automation testing, GIT, Agile development, Automation tools, Javascript, Manager Technology"
1032,Software Test Engineer,"Automation, Technology management, Automation testing, GIT, Agile development, Automation tools, Javascript, Manager Technology"
1033,Software Test Engineers,"Usage, Automation testing, Coding, Risk assessment, API Testing, Performance testing, Agile, Regression testing"
1034,Software Testing Engineer,"Automation, Automation testing, Web services, SOAP UI, Agile, Selenium, Management, JIRA"
1035,"Software Engineer III, in Test (ETL Testing)","Cypress, Selenium, ETL Testing, SQL, Automation Testing, Software testing, III, ETL"
1036,Software Test Engineer,"Computer science, Automation testing, Manual testing, Web technologies, Project management, Analytical, Security testing, Manual"
1037,Software Test Engineer,"automation framework, Framework design, Automation testing, Debugging, Automation tools, Regression testing, Selenium, Test cases"
1038,Software Test Engineer,"Automation testing, Selenium, Software, Automation, Software testing"
1039,Software Test Engineer,"Automation testing, Selenium, Software testing, Automation, Software"
1040,Software Development Engineer in Test,"automation framework, Automation testing, MVVM, Manager Technology, Silicon, MVC, IOS, Android"
1041,Senior Software Development Engineer in Test (SDET),"Automation, Automation testing, Architecture, Javascript, E-commerce, Business strategy, Analytics, Monitoring"
1042,Software Development Engineer in Test (SDET),"Selection process, System testing, Automation, Automation testing, development, code, software, Web testing"
1043,Lead Software Development Engineer in Test,"Selenium, ALM, test engineering, Test Automation, Rest Assured, JUnit, SDET, TestNG"
1044,Software Engineer/Senior Software Engineer - Testing,"QA, Automation, Automation testing, PDF, Test case preparation, Performance testing, Software Engineer Testing, Manual"
1045,Software Development Engineer in Test,"Automation testing, Bidding, Agile scrum, Software Development Manager, API Testing, Relationship, Software testing, Management"
1046,Software Test Engineer,"Volume testing, HP QTP, Automation, Automation testing, Regression, Selenium, Test cases, JIRA"
1047,Junior Software Performance Tester (JMeter) (immediate joiner Only),"Performance Testing, Software Testing, Automation Testing, Manual Testing, Test Cases, Application Testing, JMeter, Load Testing"
1048,Junior Software Performance Tester (JMeter) (immediate joiner Only),"Performance Testing, Software Testing, Automation Testing, Manual Testing, Test Cases, Application Testing, JMeter, Load Testing"
1049,Junior Software Performance Tester (JMeter) (immediate joiner Only),"Performance Testing, Software Testing, Automation Testing, Manual Testing, Test Cases, Application Testing, JMeter, Load Testing"
1050,Junior Software Performance Tester (JMeter) (immediate joiner Only),"Performance Testing, Software Testing, Automation Testing, Manual Testing, Test Cases, Application Testing, JMeter, Load Testing"
1051,Software TestER,"Software testing, Automation testing, Manual testing, Web technologies, android testing, Functional testing, API Testing, Windows"
1052,Software Tester,"Computer science, Software testing, Basic, Quality standards, Test case execution, Testing tools, Programming, Scripting"
1053,QA Engineer Automated Software Testing ; Selenium,"Software testing, STA, Automation testing, Manual testing, Performance testing, Selenium, QTP, Application Software Testing"
1054,Software Tester,"Software testing, Web technologies, Project management, Analytical, Test scenarios, Database, UPS, Product design"
1055,Lead I - Software Testing,"White box testing, Test scripts, Mainframe testing, Test management, Billing, Healthcare, Test planning, Regression testing"
1056,"Performance Testing Lead /QA - Java, Telecom software Domain","GNU Linux and UNIX shell commands, Oracle and sql commands, Performance/Load/Stress/Robustness software testing, Java programing, Rest services, JDK analysis tools, Quality assurance, Analysis"
1057,Software QA Tester (Odiya Language),"QA Testing, Communication Skills, Project Management, Software Engineering, QA Tester, Software Localization, Software testing, Quality assurance"
1058,Software Tester,"Coding, Javascript, Flex, Healthcare, Test planning, Selenium, Test cases, QTP"
